"Section","SectionStart","Length","Name","Class"
"0x00000001","0x00000000","578152",".text","Code"
"0x00000001","0x0008D268","1308",".text$yc","Code"
"0x00000001","0x0008D784","544",".text$yd","Code"
"0x00000002","0x00000000","4",".CRT$XCA","Data"
"0x00000002","0x00000004","8",".CRT$XCC","Data"
"0x00000002","0x0000000C","16",".CRT$XCL","Data"
"0x00000002","0x0000001C","76",".CRT$XCU","Data"
"0x00000002","0x00000068","4",".CRT$XCZ","Data"
"0x00000002","0x0000006C","4",".CRT$XIA","Data"
"0x00000002","0x00000070","4",".CRT$XIZ","Data"
"0x00000002","0x00000074","4",".CRT$XPA","Data"
"0x00000002","0x00000078","4",".CRT$XPZ","Data"
"0x00000002","0x0000007C","4",".CRT$XTA","Data"
"0x00000002","0x00000080","4",".CRT$XTZ","Data"
"0x00000002","0x00000090","234032",".rdata","Data"
"0x00000002","0x000392C0","119",".rdata$debug","Data"
"0x00000002","0x00039338","3428",".rdata$r","Data"
"0x00000002","0x0003A09C","160",".xdata","Data"
"0x00000002","0x0003A13C","644",".xdata$x","Data"
"0x00000002","0x0003A3C0","0","ATL$__a","Data"
"0x00000002","0x0003A3C0","0","ATL$__z","Data"
"0x00000002","0x0003A3C0","380",".idata$2","Data"
"0x00000002","0x0003A53C","20",".idata$3","Data"
"0x00000002","0x0003A550","2332",".idata$4","Data"
"0x00000002","0x0003AE6C","16782",".idata$6","Data"
"0x00000002","0x0003EFFA","0",".edata","Data"
"0x00000003","0x00000000","2332",".idata$5","Data"
"0x00000003","0x00000920","6640",".data","Data"
"0x00000003","0x00002320","12348",".bss","Data"
"0x00000004","0x00000000","37792",".pdata","Data"
"0x00000005","0x00000000","8436",".rsrc$01","Data"
"0x00000005","0x00002100","148168",".rsrc$02","Data"
