"Section","Offset","Size","MangledName","DemangledName","Function","Inline","VirtualAddress","ObjectName"
"0x00000000","0x00000000","0","___safe_se_handler_count","___safe_se_handler_count","False","False","0x00000000","<absolute>"
"0x00000000","0x00000000","0","___safe_se_handler_table","___safe_se_handler_table","False","False","0x00000000","<absolute>"
"0x00000001","0x00000000","60","?ChangeState@DIAG_AppManager@@QAAXW4E_DIAG_APP_STATE@@@Z","public: void __cdecl DIAG_AppManager::ChangeState(enum E_DIAG_APP_STATE)","True","False","0x00011000","DIAG_AppManager.obj"
"0x00000001","0x0000003C","56","?HideWindow@DIAG_AppManager@@SAXPAU_DIAG_PARAM@@@Z","public: static void __cdecl DIAG_AppManager::HideWindow(struct _DIAG_PARAM *)","True","False","0x0001103C","DIAG_AppManager.obj"
"0x00000001","0x00000074","352","?PostMessageW@DIAG_AppManager@@SAJPAUHWND__@@HIJ@Z","public: static long __cdecl DIAG_AppManager::PostMessageW(struct HWND__ *,int,unsigned int,long)","True","False","0x00011074","DIAG_AppManager.obj"
"0x00000001","0x000001D4","480","?AddCmdDevelopMode@DIAG_AppManager@@SAJPAU_DIAG_PARAM@@HHH@Z","public: static long __cdecl DIAG_AppManager::AddCmdDevelopMode(struct _DIAG_PARAM *,int,int,int)","True","False","0x000111D4","DIAG_AppManager.obj"
"0x00000001","0x000003B4","804","??0DIAG_MemoryManager@@QAA@XZ","public: __cdecl DIAG_MemoryManager::DIAG_MemoryManager(void)","True","False","0x000113B4","DIAG_MemoryManager.obj"
"0x00000001","0x000006D8","0","??_EDIAG_MemoryManager@@UAAPAXI@Z","public: virtual void * __cdecl DIAG_MemoryManager::`vector deleting destructor'(unsigned int)","True","True","0x000116D8"," CIL library: CIL module"
"0x00000001","0x000006D8","36","??_GDIAG_MemoryManager@@UAAPAXI@Z","public: virtual void * __cdecl DIAG_MemoryManager::`scalar deleting destructor'(unsigned int)","True","True","0x000116D8","DIAG_MemoryManager.obj"
"0x00000001","0x000006FC","0","??_ECDiagnosticsBaseIF@MEMMANAGERBASEDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERBASEDLL::CDiagnosticsBaseIF::`vector deleting destructor'(unsigned int)","True","True","0x000116FC"," CIL library: CIL module"
"0x00000001","0x000006FC","48","??_GCDiagnosticsBaseIF@MEMMANAGERBASEDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERBASEDLL::CDiagnosticsBaseIF::`scalar deleting destructor'(unsigned int)","True","True","0x000116FC","DIAG_MemoryManager.obj"
"0x00000001","0x0000072C","0","??_ECNaviKwpBaseIF@MEMMANAGERBASEDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERBASEDLL::CNaviKwpBaseIF::`vector deleting destructor'(unsigned int)","True","True","0x0001172C"," CIL library: CIL module"
"0x00000001","0x0000072C","48","??_GCNaviKwpBaseIF@MEMMANAGERBASEDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERBASEDLL::CNaviKwpBaseIF::`scalar deleting destructor'(unsigned int)","True","True","0x0001172C","DIAG_MemoryManager.obj"
"0x00000001","0x0000075C","0","??_ECBluetoothBaseIF@MEMMANAGERBASEDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERBASEDLL::CBluetoothBaseIF::`vector deleting destructor'(unsigned int)","True","True","0x0001175C"," CIL library: CIL module"
"0x00000001","0x0000075C","48","??_GCBluetoothBaseIF@MEMMANAGERBASEDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERBASEDLL::CBluetoothBaseIF::`scalar deleting destructor'(unsigned int)","True","True","0x0001175C","DIAG_MemoryManager.obj"
"0x00000001","0x0000078C","0","??_ECHmiCtrlDtvBaseIF@MEMMANAGERBASEDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERBASEDLL::CHmiCtrlDtvBaseIF::`vector deleting destructor'(unsigned int)","True","True","0x0001178C"," CIL library: CIL module"
"0x00000001","0x0000078C","48","??_GCHmiCtrlDtvBaseIF@MEMMANAGERBASEDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERBASEDLL::CHmiCtrlDtvBaseIF::`scalar deleting destructor'(unsigned int)","True","True","0x0001178C","DIAG_MemoryManager.obj"
"0x00000001","0x000007BC","0","??_GCCanControlBaseIF@MEMMANAGERBASEDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERBASEDLL::CCanControlBaseIF::`scalar deleting destructor'(unsigned int)","True","True","0x000117BC","DIAG_MemoryManager.obj"
"0x00000001","0x000007BC","48","??_ECCanControlBaseIF@MEMMANAGERBASEDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERBASEDLL::CCanControlBaseIF::`vector deleting destructor'(unsigned int)","True","True","0x000117BC"," CIL library: CIL module"
"0x00000001","0x000007EC","0","??_ECCommonEnvIF@MEMMANAGERENVDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERENVDLL::CCommonEnvIF::`vector deleting destructor'(unsigned int)","True","True","0x000117EC"," CIL library: CIL module"
"0x00000001","0x000007EC","56","??_GCCommonEnvIF@MEMMANAGERENVDLL@@UAAPAXI@Z","public: virtual void * __cdecl MEMMANAGERENVDLL::CCommonEnvIF::`scalar deleting destructor'(unsigned int)","True","True","0x000117EC","DIAG_MemoryManager.obj"
"0x00000001","0x00000824","304","??1DIAG_MemoryManager@@UAA@XZ","public: virtual __cdecl DIAG_MemoryManager::~DIAG_MemoryManager(void)","True","False","0x00011824","DIAG_MemoryManager.obj"
"0x00000001","0x00000954","76","?GetDiagInformation@DIAG_MemoryManager@@QAAXPAUST_DIAG_INFORMATION@@@Z","public: void __cdecl DIAG_MemoryManager::GetDiagInformation(struct ST_DIAG_INFORMATION *)","True","False","0x00011954","DIAG_MemoryManager.obj"
"0x00000001","0x000009A0","596","?GetVersion@DIAG_MemoryManager@@QAAXPAU_ST_VERSION_INFO@@@Z","public: void __cdecl DIAG_MemoryManager::GetVersion(struct _ST_VERSION_INFO *)","True","False","0x000119A0","DIAG_MemoryManager.obj"
"0x00000001","0x00000BF4","160","?SetConnectNumber@DIAG_MemoryManager@@QAAXPAD@Z","public: void __cdecl DIAG_MemoryManager::SetConnectNumber(char *)","True","False","0x00011BF4","DIAG_MemoryManager.obj"
"0x00000001","0x00000C94","120","?GetCameraInfo@DIAG_MemoryManager@@QAAXAAUST_CARDATA_DEFAULT_TBL@@@Z","public: void __cdecl DIAG_MemoryManager::GetCameraInfo(struct ST_CARDATA_DEFAULT_TBL &)","True","False","0x00011C94","DIAG_MemoryManager.obj"
"0x00000001","0x00000D0C","160","?SetDateTime@DIAG_MemoryManager@@QAAXAAUST_LOC_TIME@@@Z","public: void __cdecl DIAG_MemoryManager::SetDateTime(struct ST_LOC_TIME &)","True","False","0x00011D0C","DIAG_MemoryManager.obj"
"0x00000001","0x00000DAC","136","?SetManufacturingData@DIAG_MemoryManager@@QAAJAAUST_KWP_MANUFACTURINGDATA@@@Z","public: long __cdecl DIAG_MemoryManager::SetManufacturingData(struct ST_KWP_MANUFACTURINGDATA &)","True","False","0x00011DAC","DIAG_MemoryManager.obj"
"0x00000001","0x00000E34","128","?SetMpuCoupon@DIAG_MemoryManager@@QAAXAAUT_MAPUPDATE_COUPON_INFO_TBL@@@Z","public: void __cdecl DIAG_MemoryManager::SetMpuCoupon(struct T_MAPUPDATE_COUPON_INFO_TBL &)","True","False","0x00011E34","DIAG_MemoryManager.obj"
"0x00000001","0x00000EB4","100","?GetAvSourceMode@DIAG_MemoryManager@@QAA?AW4E_AV_SOURCE_MODE@@XZ","public: enum E_AV_SOURCE_MODE __cdecl DIAG_MemoryManager::GetAvSourceMode(void)","True","False","0x00011EB4","DIAG_MemoryManager.obj"
"0x00000001","0x00000F18","68","?IsPeaksEnable@DIAG_MemoryManager@@QAA_NXZ","public: bool __cdecl DIAG_MemoryManager::IsPeaksEnable(void)","True","False","0x00011F18","DIAG_MemoryManager.obj"
